id,user_id,health_insurance,pension_plan
1,1,False,True
2,2,True,
3,3,False,
4,4,True,
5,5,True,True
6,6,False,
7,7,False,
8,8,True,
9,9,False,
10,10,False,False
11,11,,
12,12,False,
13,13,,True
14,14,True,False
15,15,True,True
16,16,False,False
17,17,False,True
18,18,True,
19,19,,True
20,20,True,False
21,21,False,True
22,22,False,True
23,23,True,False
24,24,True,
25,25,,True
26,26,,
27,27,True,False
28,28,True,False
29,29,True,True
30,30,True,True
31,31,,False
32,32,False,
33,33,,False
34,34,True,
35,35,True,
36,36,,False
37,37,False,False
38,38,True,True
39,39,True,True
40,40,True,True
41,41,True,False
42,42,,
43,43,True,False
44,44,,
45,45,True,True
46,46,False,True
47,47,,True
48,48,False,
49,49,False,False
50,50,True,False
51,51,True,False
52,52,,
53,53,,False
54,54,False,True
55,55,,
56,56,True,True
57,57,,False
58,58,,False
59,59,True,True
60,60,False,False
61,61,True,
62,62,True,True
63,63,False,
64,64,,
65,65,,
66,66,False,True
67,67,False,True
68,68,True,True
69,69,,
70,70,True,
71,71,False,
72,72,False,True
73,73,True,True
74,74,,
75,75,,False
76,76,False,True
77,77,True,
78,78,False,
79,79,,
80,80,False,
81,81,True,
82,82,,True
83,83,True,
84,84,False,
85,85,False,False
86,86,True,
87,87,True,True
88,88,,True
89,89,,
90,90,True,True
91,91,,
92,92,True,
93,93,,False
94,94,,False
95,95,True,
96,96,,
97,97,True,
98,98,,True
99,99,False,
100,100,True,False
101,101,,
102,102,,
103,103,False,
104,104,True,True
105,105,False,True
106,106,False,False
107,107,,
108,108,,True
109,109,,True
110,110,True,True
111,111,False,
112,112,True,
113,113,False,True
114,114,,True
115,115,False,True
116,116,,False
117,117,False,False
118,118,True,True
119,119,True,
120,120,,False
121,121,True,True
122,122,False,False
123,123,True,False
124,124,False,
125,125,False,
126,126,,
127,127,,True
128,128,True,
129,129,True,False
130,130,,False
131,131,True,False
132,132,False,
133,133,False,
134,134,False,True
135,135,True,True
136,136,,
137,137,False,
138,138,,
139,139,True,True
140,140,False,
141,141,True,False
142,142,,
143,143,,False
144,144,False,True
145,145,False,True
146,146,,False
147,147,True,True
148,148,,
149,149,True,
150,150,True,
151,151,True,True
152,152,False,True
153,153,False,
154,154,False,
155,155,True,False
156,156,False,True
157,157,True,
158,158,True,
159,159,False,
160,160,,True
161,161,,False
162,162,False,
163,163,True,
164,164,,True
165,165,False,
166,166,,
167,167,True,False
168,168,,
169,169,False,True
170,170,True,True
171,171,,False
172,172,False,True
173,173,,False
174,174,True,False
175,175,False,
176,176,False,
177,177,True,True
178,178,False,False
179,179,False,True
180,180,False,
181,181,,False
182,182,,
183,183,True,
184,184,,
185,185,True,
186,186,False,True
187,187,,False
188,188,,True
189,189,,True
190,190,False,
191,191,True,
192,192,False,
193,193,True,
194,194,False,True
195,195,,True
196,196,True,True
197,197,False,True
198,198,True,
199,199,,True
200,200,True,True
201,201,,
202,202,True,False
203,203,True,True
204,204,,
205,205,True,True
206,206,,False
207,207,True,False
208,208,,False
209,209,True,True
210,210,False,
211,211,,
212,212,False,
213,213,,
214,214,,
215,215,,True
216,216,,False
217,217,False,True
218,218,,False
219,219,False,True
220,220,,True
221,221,,
222,222,True,
223,223,True,False
224,224,,False
225,225,,True
226,226,False,False
227,227,False,
228,228,True,False
229,229,False,
230,230,,
231,231,False,False
232,232,False,True
233,233,True,False
234,234,False,
235,235,True,
236,236,True,True
237,237,,False
238,238,True,
239,239,,
240,240,,False
241,241,,True
242,242,False,
243,243,False,False
244,244,,True
245,245,True,
246,246,False,True
247,247,,False
248,248,True,False
249,249,False,True
250,250,True,True
251,251,False,False
252,252,False,False
253,253,,True
254,254,,True
255,255,,True
256,256,False,False
257,257,True,
258,258,False,True
259,259,True,True
260,260,,False
261,261,,True
262,262,False,True
263,263,,False
264,264,True,False
265,265,False,False
266,266,True,True
267,267,True,False
268,268,,True
269,269,,True
270,270,True,True
271,271,False,False
272,272,,False
273,273,,
274,274,True,True
275,275,False,False
276,276,,True
277,277,True,False
278,278,False,False
279,279,True,True
280,280,False,False
281,281,True,False
282,282,,False
283,283,,True
284,284,False,
285,285,True,
286,286,,True
287,287,False,True
288,288,True,False
289,289,False,False
290,290,,False
291,291,,
292,292,True,
293,293,,
294,294,,False
295,295,False,True
296,296,True,
297,297,False,
298,298,True,
299,299,,True
300,300,,False
301,301,True,True
302,302,,
303,303,False,False
304,304,False,
305,305,False,False
306,306,True,False
307,307,False,True
308,308,,
309,309,True,False
310,310,True,False
311,311,True,True
312,312,False,
313,313,False,True
314,314,,True
315,315,False,True
316,316,False,True
317,317,True,True
318,318,True,
319,319,,
320,320,True,True
321,321,False,True
322,322,False,True
323,323,False,False
324,324,,False
325,325,False,True
326,326,True,
327,327,True,True
328,328,True,False
329,329,True,
330,330,False,False
331,331,True,
332,332,False,True
333,333,,False
334,334,True,
335,335,,False
336,336,,False
337,337,,True
338,338,,True
339,339,,False
340,340,True,True
341,341,,False
342,342,True,
343,343,False,
344,344,,True
345,345,True,False
346,346,True,
347,347,False,True
348,348,True,False
349,349,,
350,350,,False
351,351,,False
352,352,False,False
353,353,True,
354,354,,True
355,355,False,
356,356,,True
357,357,,True
358,358,True,False
359,359,,
360,360,,
361,361,,
362,362,,True
363,363,False,
364,364,,True
365,365,,True
366,366,False,
367,367,False,False
368,368,,True
369,369,,True
370,370,False,
371,371,False,
372,372,False,
373,373,False,True
374,374,,
375,375,False,False
376,376,False,
377,377,False,False
378,378,True,False
379,379,,False
380,380,,False
381,381,True,True
382,382,,
383,383,True,False
384,384,True,
385,385,True,
386,386,,True
387,387,False,
388,388,True,
389,389,False,True
390,390,False,False
391,391,False,False
392,392,False,False
393,393,True,True
394,394,,
395,395,False,False
396,396,True,False
397,397,True,
398,398,False,
399,399,True,False
400,400,True,False
401,401,False,True
402,402,False,True
403,403,,True
404,404,,
405,405,,
406,406,True,
407,407,,True
408,408,,False
409,409,,True
410,410,,
411,411,,
412,412,,True
413,413,,True
414,414,,False
415,415,,
416,416,True,False
417,417,,
418,418,,True
419,419,,False
420,420,True,False
421,421,True,False
422,422,False,False
423,423,False,
424,424,,
425,425,True,
426,426,,True
427,427,False,True
428,428,,
429,429,,False
430,430,True,True
431,431,,
432,432,False,True
433,433,False,True
434,434,,True
435,435,True,
436,436,True,
437,437,False,
438,438,,False
439,439,False,True
440,440,False,False
441,441,False,True
442,442,False,
443,443,False,False
444,444,,True
445,445,True,
446,446,False,
447,447,False,
448,448,,False
449,449,True,True
450,450,False,
451,451,,False
452,452,False,False
453,453,,
454,454,,True
455,455,False,True
456,456,False,
457,457,False,False
458,458,True,False
459,459,,True
460,460,False,False
461,461,True,
462,462,True,True
463,463,True,False
464,464,True,
465,465,,False
466,466,,False
467,467,True,False
468,468,True,True
469,469,True,True
470,470,,False
471,471,False,True
472,472,,True
473,473,False,True
474,474,True,
475,475,True,
476,476,,True
477,477,False,False
478,478,False,True
479,479,False,
480,480,,
481,481,False,False
482,482,,False
483,483,,True
484,484,False,False
485,485,,
486,486,False,False
487,487,False,False
488,488,,
489,489,,False
490,490,True,False
491,491,True,True
492,492,True,True
493,493,True,
494,494,False,
495,495,True,
496,496,,True
497,497,False,
498,498,True,True
499,499,,
500,500,True,True
